timestamp,sound,loudness
0,321,163
60000,131,312
120000,76,117
180000,2,122
240000,18,143
300000,10,153
360000,126,141
420000,90,145
480000,179,159
540000,95,119
600000,175,134
660000,88,130
720000,200,118
780000,138,139
840000,116,118
